date,price,open,high,low,volume,change,value
2010-09-25,0.1,0.1,0.1,0.1,2.15K,0.00%,2
2010-09-26,0.1,0.1,0.1,0.1,12.06K,0.00%,2
2010-09-27,0.1,0.1,0.1,0.1,10.75K,0.00%,2
2010-09-28,0.1,0.1,0.1,0.1,7.09K,0.00%,2
2010-09-29,0.1,0.1,0.1,0.1,23.48K,0.00%,2
2010-09-30,0.1,0.1,0.1,0.1,7.92K,0.00%,2
2010-10-01,0.1,0.1,0.1,0.1,1.72K,0.00%,2
2010-10-02,0.1,0.1,0.1,0.1,13.06K,0.00%,2
2010-10-03,0.1,0.1,0.1,0.1,7.17K,0.00%,2
2010-10-04,0.1,0.1,0.1,0.1,34.00K,0.00%,2
2010-10-05,0.1,0.1,0.1,0.1,27.53K,0.00%,2
2010-10-06,0.1,0.1,0.1,0.1,33.43K,0.00%,2
2010-10-07,0.1,0.1,0.1,0.1,43.69K,0.00%,2
2010-10-08,0.1,0.1,0.1,0,139.29K,0.00%,2
2010-10-09,0.1,0.1,0.1,0.1,187.85K,0.00%,2
2010-10-10,0.1,0.1,0.1,0.1,50.68K,0.00%,2
2010-10-11,0.1,0.1,0.1,0.1,14.09K,0.00%,2
2010-10-12,0.1,0.1,0.1,0.1,25.66K,0.00%,2
2010-10-13,0.1,0.1,0.1,0.1,47.56K,0.00%,2
2010-10-14,0.1,0.1,0.1,0.1,37.22K,0.00%,2
2010-10-15,0.1,0.1,0.1,0.1,24.64K,0.00%,2
2010-10-16,0.1,0.1,0.1,0.1,6.29K,0.00%,2
2010-10-17,0.1,0.1,0.1,0.1,18.22K,0.00%,2
2010-10-18,0.1,0.1,0.1,0.1,25.67K,0.00%,2
2010-10-19,0.1,0.1,0.1,0.1,6.24K,0.00%,2
2010-10-20,0.1,0.1,0.1,0.1,31.86K,0.00%,2
2010-10-21,0.1,0.1,0.1,0.1,44.87K,0.00%,2
2010-10-22,0.1,0.1,0.1,0.1,34.60K,0.00%,2
2010-10-23,0.1,0.1,0.1,0.1,4.42K,0.00%,2
